iter	MultiClass	F1:use_weights=true;class=0	F1:use_weights=true;class=1	F1:use_weights=true;class=2	F1:use_weights=true;class=3	F1:use_weights=false;class=0	F1:use_weights=false;class=1	F1:use_weights=false;class=2	F1:use_weights=false;class=3	Accuracy:use_weights=true	Accuracy:use_weights=false
0	1.345462202	0.404798819	0.499843838	0.606780697	0.3766673322	0.4020108652	0.5002506266	0.6075426584	0.377847679	0.4644733584	0.4643333333
1	1.308403004	0.3862354111	0.5739726401	0.6541650471	0.2870995537	0.3838997882	0.5745419324	0.655292676	0.2877839165	0.4899146817	0.490047619
2	1.277272565	0.3744595343	0.5727946	0.6581570372	0.31384551	0.3723570869	0.5733235077	0.6593488372	0.3147035484	0.4918200416	0.4921428571
3	1.252103874	0.3723819067	0.5755987704	0.6577421438	0.3520555605	0.3703778135	0.5760579161	0.658953168	0.3531135531	0.4976560457	0.4980952381
4	1.228484668	0.3756180435	0.561138202	0.6560372826	0.3665009648	0.3735977564	0.5615301335	0.6572528883	0.3676441253	0.4949911864	0.4954285714
5	1.209275256	0.374303189	0.5887714883	0.6585507727	0.3603371206	0.372313591	0.5891793943	0.659769273	0.3614533305	0.5039623948	0.5044285714
6	1.193555148	0.3825392323	0.5855122218	0.6603052443	0.3648624534	0.3804790776	0.5859184385	0.6615285806	0.3659556671	0.5058189547	0.5062380952
7	1.178860554	0.3710880988	0.5865853327	0.6706598068	0.3632932859	0.3691488272	0.5869622592	0.6719928984	0.364393545	0.5077224037	0.5082380952
8	1.165360351	0.3725928909	0.5905202226	0.6773808343	0.373657835	0.3707012987	0.5908850026	0.6787226535	0.3748070392	0.5135813954	0.5141428571
9	1.152507769	0.3701286774	0.6000973379	0.681124727	0.3841884946	0.3682880606	0.6004769897	0.6824967263	0.385358832	0.5199039953	0.5205238095
10	1.141713508	0.3749364515	0.6008683412	0.682263196	0.3841840963	0.3730397757	0.6012378426	0.6836178075	0.3853532749	0.5207972926	0.5213809524
11	1.13158562	0.3777443598	0.6030020399	0.6858161604	0.3869139734	0.3758445068	0.6033658105	0.6871704745	0.3880935215	0.5236046426	0.5241904762
12	1.123539244	0.3849613354	0.6057638162	0.6873943657	0.39124931	0.3830049261	0.6061144685	0.6887311446	0.392438874	0.5264474044	0.527
13	1.113526958	0.3867726988	0.6094330319	0.6923587514	0.393442015	0.3848294342	0.6097798214	0.6937040645	0.3946364105	0.530149654	0.5307142857
14	1.10338272	0.3887582503	0.6105501291	0.6968734465	0.398345403	0.3868295713	0.6109000972	0.6982300885	0.3995473717	0.5333730666	0.533952381
15	1.096067478	0.3907450983	0.6114454225	0.6991100085	0.4026347177	0.3888254232	0.611793829	0.7004600142	0.4038540385	0.5356498343	0.5362380952
